Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
commons-lang,org.apache.commons.lang3,SystemUtils,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: FILE_ENCODING; FILE_SEPARATOR; JAVA_AWT_FONTS; JAVA_AWT_GRAPHICSENV; JAVA_AWT_HEADLESS; JAVA_AWT_PRINTERJOB; JAVA_CLASS_PATH; JAVA_CLASS_VERSION; JAVA_COMPILER; JAVA_ENDORSED_DIRS; JAVA_EXT_DIRS; JAVA_HOME; JAVA_IO_TMPDIR; JAVA_LIBRARY_PATH; JAVA_RUNTIME_NAME; JAVA_RUNTIME_VERSION; JAVA_SPECIFICATION_NAME; JAVA_SPECIFICATION_VENDOR; JAVA_SPECIFICATION_VERSION; JAVA_UTIL_PREFS_PREFERENCES_FACTORY; JAVA_VENDOR; JAVA_VENDOR_URL; JAVA_VERSION; JAVA_VM_INFO; JAVA_VM_NAME; JAVA_VM_SPECIFICATION_NAME; JAVA_VM_SPECIFICATION_VENDOR; JAVA_VM_SPECIFICATION_VERSION; JAVA_VM_VENDOR; JAVA_VM_VERSION; LINE_SEPARATOR; OS_ARCH; OS_NAME; OS_VERSION; PATH_SEPARATOR; USER_COUNTRY; USER_DIR; USER_HOME; USER_LANGUAGE; USER_NAME; USER_TIMEZONE; IS_JAVA_1_1; IS_JAVA_1_2; IS_JAVA_1_3; IS_JAVA_1_4; IS_JAVA_1_5; IS_JAVA_1_6; IS_JAVA_1_7; IS_JAVA_1_8; IS_JAVA_1_9; IS_JAVA_9; IS_JAVA_10; IS_JAVA_11; IS_JAVA_12; IS_JAVA_13; IS_JAVA_14; IS_JAVA_15; IS_JAVA_16; IS_JAVA_17; IS_JAVA_18; IS_JAVA_19; IS_JAVA_20; IS_JAVA_21; IS_OS_AIX; IS_OS_HP_UX; IS_OS_400; IS_OS_IRIX; IS_OS_LINUX; IS_OS_MAC; IS_OS_MAC_OSX; IS_OS_MAC_OSX_CHEETAH; IS_OS_MAC_OSX_PUMA; IS_OS_MAC_OSX_JAGUAR; IS_OS_MAC_OSX_PANTHER; IS_OS_MAC_OSX_TIGER; IS_OS_MAC_OSX_LEOPARD; IS_OS_MAC_OSX_SNOW_LEOPARD; IS_OS_MAC_OSX_LION; IS_OS_MAC_OSX_MOUNTAIN_LION; IS_OS_MAC_OSX_MAVERICKS; IS_OS_MAC_OSX_YOSEMITE; IS_OS_MAC_OSX_EL_CAPITAN; IS_OS_MAC_OSX_SIERRA; IS_OS_MAC_OSX_HIGH_SIERRA; IS_OS_MAC_OSX_MOJAVE; IS_OS_MAC_OSX_CATALINA; IS_OS_MAC_OSX_BIG_SUR; IS_OS_MAC_OSX_MONTEREY; IS_OS_MAC_OSX_VENTURA; IS_OS_FREE_BSD; IS_OS_OPEN_BSD; IS_OS_NET_BSD; IS_OS_OS2; IS_OS_SOLARIS; IS_OS_SUN_OS; IS_OS_UNIX; IS_OS_WINDOWS; IS_OS_WINDOWS_2000; IS_OS_WINDOWS_2003; IS_OS_WINDOWS_2008; IS_OS_WINDOWS_2012; IS_OS_WINDOWS_95; IS_OS_WINDOWS_98; IS_OS_WINDOWS_ME; IS_OS_WINDOWS_NT; IS_OS_WINDOWS_XP; IS_OS_WINDOWS_VISTA; IS_OS_WINDOWS_7; IS_OS_WINDOWS_8; IS_OS_WINDOWS_10; IS_OS_WINDOWS_11; IS_OS_ZOS; USER_HOME_KEY; USER_NAME_KEY; USER_DIR_KEY; JAVA_IO_TMPDIR_KEY; JAVA_HOME_KEY; AWT_TOOLKIT
commons-lang,org.apache.commons.lang3,StringUtils,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: SPACE; EMPTY; LF; CR; INDEX_NOT_FOUND
commons-lang,org.apache.commons.lang3,StringUtils,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
commons-lang,org.apache.commons.lang3,StringEscapeUtils,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.lang3.text.translate.CharSequenceTranslator
commons-lang,org.apache.commons.lang3,StringEscapeUtils,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ESCAPE_JAVA; ESCAPE_ECMASCRIPT; ESCAPE_JSON; ESCAPE_XML; ESCAPE_XML10; ESCAPE_XML11; ESCAPE_HTML3; ESCAPE_HTML4; ESCAPE_CSV; UNESCAPE_JAVA; UNESCAPE_ECMASCRIPT; UNESCAPE_JSON; UNESCAPE_HTML3; UNESCAPE_HTML4; UNESCAPE_XML; UNESCAPE_CSV
commons-lang,org.apache.commons.lang3,CharSet,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: EMPTY; ASCII_ALPHA; ASCII_ALPHA_LOWER; ASCII_ALPHA_UPPER; ASCII_NUMERIC
commons-lang,org.apache.commons.lang3,ClassUtils,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.lang3.mutable.MutableObject
commons-lang,org.apache.commons.lang3,ClassUtils,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PACKAGE_SEPARATOR_CHAR; PACKAGE_SEPARATOR; INNER_CLASS_SEPARATOR_CHAR; INNER_CLASS_SEPARATOR
commons-lang,org.apache.commons.lang3,ArrayUtils,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: EMPTY_BOOLEAN_ARRAY; EMPTY_BOOLEAN_OBJECT_ARRAY; EMPTY_BYTE_ARRAY; EMPTY_BYTE_OBJECT_ARRAY; EMPTY_CHAR_ARRAY; EMPTY_CHARACTER_OBJECT_ARRAY; EMPTY_CLASS_ARRAY; EMPTY_DOUBLE_ARRAY; EMPTY_DOUBLE_OBJECT_ARRAY; EMPTY_FIELD_ARRAY; EMPTY_FLOAT_ARRAY; EMPTY_FLOAT_OBJECT_ARRAY; EMPTY_INT_ARRAY; EMPTY_INTEGER_OBJECT_ARRAY; EMPTY_LONG_ARRAY; EMPTY_LONG_OBJECT_ARRAY; EMPTY_METHOD_ARRAY; EMPTY_OBJECT_ARRAY; EMPTY_SHORT_ARRAY; EMPTY_SHORT_OBJECT_ARRAY; EMPTY_STRING_ARRAY; EMPTY_THROWABLE_ARRAY; EMPTY_TYPE_ARRAY; INDEX_NOT_FOUND
commons-lang,org.apache.commons.lang3,ArrayUtils,Law of Demeter violation,The tool detected the smell in this method (isEquals) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.lang3.builder.EqualsBuilder.append; org.apache.commons.lang3.builder.EqualsBuilder.isEquals
commons-lang,org.apache.commons.lang3,SystemProperties,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: AWT_TOOLKIT; FILE_ENCODING; FILE_SEPARATOR; JAVA_AWT_FONTS; JAVA_AWT_GRAPHICSENV; JAVA_AWT_HEADLESS; JAVA_AWT_PRINTERJOB; JAVA_CLASS_PATH; JAVA_CLASS_VERSION; JAVA_COMPILER; JAVA_ENDORSED_DIRS; JAVA_EXT_DIRS; JAVA_HOME; JAVA_IO_TMPDIR; JAVA_LIBRARY_PATH; JAVA_LOCALE_PROVIDERS; JAVA_RUNTIME_NAME; JAVA_RUNTIME_VERSION; JAVA_SPECIFICATION_NAME; JAVA_SPECIFICATION_VENDOR; JAVA_SPECIFICATION_VERSION; JAVA_UTIL_PREFS_PREFERENCES_FACTORY; JAVA_VENDOR; JAVA_VENDOR_URL; JAVA_VERSION; JAVA_VM_INFO; JAVA_VM_NAME; JAVA_VM_SPECIFICATION_NAME; JAVA_VM_SPECIFICATION_VENDOR; JAVA_VM_SPECIFICATION_VERSION; JAVA_VM_VENDOR; JAVA_VM_VERSION; LINE_SEPARATOR; OS_ARCH; OS_NAME; OS_VERSION; PATH_SEPARATOR; USER_COUNTRY; USER_DIR; USER_HOME; USER_LANGUAGE; USER_NAME; USER_REGION; USER_TIMEZONE
commons-lang,org.apache.commons.lang3,CharEncoding,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ISO_8859_1; US_ASCII; UTF_16; UTF_16BE; UTF_16LE; UTF_8
commons-lang,org.apache.commons.lang3,CharUtils,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: LF; CR; NUL
commons-lang,org.apache.commons.lang3,ObjectUtils,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: NULL
commons-lang,org.apache.commons.lang3,ObjectUtils.Null,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-lang,org.apache.commons.lang3,AnnotationUtils,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.commons.lang3.builder.ToStringBuilder
commons-lang,org.apache.commons.lang3,Streams.FailableStream,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-lang,org.apache.commons.lang3,Streams.ArrayCollector,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-lang,org.apache.commons.lang3,BooleanUtils,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: FALSE; NO; OFF; ON; TRUE; YES
